estacion,fecha,pm25_diario
Cerrillos,2011-11-20,11.13888888888889
Cerrillos,2011-12-20,13.194444444444445
Cerrillos,2012-01-20,12.020833333333334
Cerrillos,2012-02-20,17.510416666666668
Cerrillos,2012-03-20,16.5
Cerrillos,2012-04-20,26.23611111111111
Cerrillos,2012-05-20,46.134020618556704
Cerrillos,2012-06-20,31.78125
Cerrillos,2012-07-20,59.979166666666664
Cerrillos,2012-08-20,34.225352112676056
Cerrillos,2012-09-20,26.98611111111111
Cerrillos,2012-10-20,22
Cerrillos,2012-11-20,11.48611111111111
Cerrillos,2012-12-20,12.63888888888889
Cerrillos,2013-01-20,11.427083333333334
Cerrillos,2013-02-20,15.083333333333334
Cerrillos,2013-03-20,13.862068965517242
Cerrillos,2013-04-20,31
Cerrillos,2013-05-20,56.020833333333336
Cerrillos,2013-06-20,32.479166666666664
Cerrillos,2013-07-20,71.65625
Cerrillos,2013-08-20,34.861111111111114
Cerrillos,2013-09-20,22.069444444444443
Cerrillos,2013-10-20,23.194444444444443
Cerrillos,2013-11-20,11.071428571428571
Cerrillos,2013-12-20,11.319444444444445
Cerrillos,2014-01-20,13.5625
Cerrillos,2014-02-20,16.458333333333332
Cerrillos,2014-03-20,14.882978723404255
Cerrillos,2014-04-20,38.34722222222222
Cerrillos,2014-05-20,57.883720930232556
Cerrillos,2014-06-20,40.510416666666664
Cerrillos,2014-07-20,71.95652173913044
Cerrillos,2014-08-20,28.458333333333332
Cerrillos,2014-09-20,20.63888888888889
Cerrillos,2014-10-20,15.875
Cerrillos,2014-11-20,11.555555555555555
Cerrillos,2014-12-20,11.73611111111111
Cerrillos,2015-01-20,12.15625
Cerrillos,2015-02-20,18.09375
Cerrillos,2015-03-20,16.93975903614458
Cerrillos,2015-04-20,33.098591549295776
Cerrillos,2015-05-20,53.646341463414636
Cerrillos,2015-06-20,39.114583333333336
Cerrillos,2015-07-20,57.095238095238095
Cerrillos,2015-08-20,38
Cerrillos,2015-09-20,14.61111111111111
Cerrillos,2015-10-20,18.26388888888889
Cerrillos,2015-11-20,11.097222222222221
Cerrillos,2015-12-20,10.805555555555555
Cerrillos,2016-01-20,13.479166666666666
Cerrillos,2016-02-20,15.458333333333334
Cerrillos,2016-03-20,13.182926829268293
Cerrillos,2016-04-20,29.98611111111111
Cerrillos,2016-05-20,54.395833333333336
Cerrillos,2016-06-20,48.28125
Cerrillos,2016-07-20,53.25
Cerrillos,2016-08-20,36.5
Cerrillos,2016-09-20,17.63888888888889
Cerrillos,2016-10-20,13.805555555555555
Cerrillos,2016-11-20,9.25
Cerrillos,2016-12-20,12.375
Cerrillos,2017-01-20,14.183908045977011
Cerrillos,2017-02-20,13.229166666666666
Cerrillos,2017-03-20,13.5625
Cerrillos,2017-04-20,28.166666666666668
Cerrillos,2017-05-20,35.96808510638298
Cerrillos,2017-06-20,42.354166666666664
Cerrillos,2017-07-20,45.31944444444444
Cerrillos,2017-08-20,28.5
Cerrillos,2017-09-20,22.930555555555557
Cerrillos,2017-10-20,17.180555555555557
Cerrillos,2017-11-20,10.86111111111111
Cerrillos,2017-12-20,15.753623188405797
Cerrillos,2018-01-20,17.88888888888889
Cerrillos,2018-02-20,12.197916666666666
Cerrillos,2018-03-20,13.416666666666666
Cerrillos,2018-04-20,27.73611111111111
Cerrillos,2018-05-20,31.47826086956522
Cerrillos,2018-06-20,47.78125
Cerrillos,2018-07-20,36.166666666666664
Cerrillos,2018-08-20,23.5
Cerrillos,2018-09-20,13.444444444444445
Cerrillos,2018-10-20,15.083333333333334
Cerrillos,2018-11-20,11.9
Cerrillos,2018-12-20,12.625
Cerrillos,2019-01-20,18.833333333333332
Cerrillos,2019-02-20,14.260416666666666
Cerrillos,2019-03-20,13.862068965517242
Cerrillos,2019-04-20,21.875
Cerrillos,2019-05-20,42.947916666666664
Cerrillos,2019-06-20,54.625
Cerrillos,2019-07-20,44.56944444444444
Cerrillos,2019-08-20,36.56944444444444
Cerrillos,2019-09-20,15.428571428571429
Cerrillos,2019-10-20,12.458333333333334
Cerrillos,2019-11-20,14.152777777777779
Cerrillos,2019-12-20,11.23943661971831
Cerrillos,2020-01-20,16.0561797752809
Cerrillos,2020-02-20,15.916666666666666
Cerrillos,2020-03-20,16.944444444444443
Cerrillos,2020-04-20,29.194444444444443
Cerrillos,2020-05-20,30.104166666666668
Cerrillos,2020-06-20,57.697916666666664
Cerrillos,2020-07-20,42.138888888888886
Cerrillos,2020-08-20,40.47222222222222
Cerrillos,2020-09-20,26.763636363636362
Cerrillos,2020-10-20,10.75
Cerrillos,2020-11-20,13.722222222222221
Cerrillos,2020-12-20,12.26388888888889
Cerrillos,2021-01-20,15.135416666666666
Cerrillos,2021-02-20,13.364583333333334
Cerrillos,2021-03-20,19.125
Cerrillos,2021-04-20,23.181818181818183
Cerrillos,2021-05-20,22.59375
Cerrillos,2021-06-20,59.895833333333336
Cerrillos,2021-07-20,25.805555555555557
Cerrillos,2021-08-20,41.083333333333336
Cerrillos,2021-09-20,22.470588235294116
Cerrillos,2021-10-20,17.38888888888889
Cerrillos,2021-11-20,12.566666666666666
Cerrillos,2021-12-20,11.847222222222221
Cerrillos,2022-01-20,15.895833333333334
Cerrillos,2022-02-20,13.260416666666666
Cerrillos,2022-03-20,17.25
Cerrillos,2022-04-20,22.071428571428573
Cerrillos,2022-05-20,41.333333333333336
Cerrillos,2022-06-20,56.642105263157895
Cerrillos,2022-07-20,21.680555555555557
Cerrillos,2022-08-20,42.791666666666664
Cerrillos,2022-09-20,16.5625
Cerrillos,2022-10-20,19.15277777777778
Cerrillos,2022-11-20,11.479166666666666
Cerrillos,2022-12-20,15.569444444444445
Cerrillos,2023-01-20,14.916666666666666
Cerrillos,2023-02-20,13.46875
Cerrillos,2023-03-20,20.044776119402986
Cerrillos,2023-04-20,28.15277777777778
Cerrillos,2023-05-20,48.885416666666664
Cerrillos,2023-06-20,42.96842105263158
Cerrillos,2023-07-20,45.833333333333336
Cerrillos,2023-08-20,25.34722222222222
Cerrillos,2023-09-20,11.352941176470589
Cerrillos,2023-10-20,17.72222222222222
