estacion,anio,pm25_media,n_dias
Cerrillos,2001,25.81051068514145,12
Cerrillos,2002,26.704175804093566,12
Cerrillos,2003,25.521393989442664,12
Cerrillos,2004,26.258713290071775,12
Cerrillos,2005,25.12609763519388,12
Cerrillos,2006,23.02957787471914,12
Cerrillos,2007,22.453558042368993,12
Cerrillos,2008,24.420088633040937,12
Cerrillos,2009,23.713062927097706,12
Cerrillos,2010,25.986865712563464,12
Cerrillos,2011,24.900092231797608,12
Cerrillos,2012,26.458188468343472,12
Cerrillos,2013,27.83705072067141,12
Cerrillos,2014,28.488798541989862,12
Cerrillos,2015,26.910190937933685,12
Cerrillos,2016,26.466922143179765,12
Cerrillos,2017,24.00081525061937,12
Cerrillos,2018,21.934878220611917,12
Cerrillos,2019,25.06847864003947,12
Cerrillos,2020,26.002056437502365,12
Cerrillos,2021,23.70488803475936,12
Cerrillos,2022,24.47410235658591,12
Cerrillos,2023,24.447178195708762,12
Cerrillos,2024,24.017589546783626,12
Cerrillos,2025,25.578986019207793,12
Cerrillos,2026,26.93212331017731,12
Cerrillos,2027,28.67933658392435,12
Cerrillos,2028,28.100711952724247,12
Cerrillos,2029,22.31952346388271,12
Cerrillos,2030,22.830645921176135,11
Cerrillos,2031,23.96024595284123,7
Cerro Navia,2001,26.948018876755288,24
Cerro Navia,2002,26.13694563012745,23
Cerro Navia,2003,26.63040743978244,24
Cerro Navia,2004,28.027542426103423,24
Cerro Navia,2005,26.526553607936588,24
Cerro Navia,2006,25.328009054813975,24
Cerro Navia,2007,25.986722594535095,24
Cerro Navia,2008,25.683076955708447,24
Cerro Navia,2009,25.212333326103675,24
Cerro Navia,2010,25.78651819298798,24
Cerro Navia,2011,26.151390028185457,23
Cerro Navia,2012,26.71888729260082,24
Cerro Navia,2013,29.283173338779957,24
Cerro Navia,2014,30.574846410903515,24
Cerro Navia,2015,30.810896363733985,24
Cerro Navia,2016,30.49170473384063,23
Cerro Navia,2017,28.66818945599664,23
Cerro Navia,2018,25.882653142739226,24
Cerro Navia,2019,27.0633093522666,24
Cerro Navia,2020,26.497044230959673,24
Cerro Navia,2021,20.972363197651607,24
Cerro Navia,2022,20.805652018484952,24
Cerro Navia,2023,20.095392603811266,24
Cerro Navia,2024,26.25075275686854,25
Cerro Navia,2025,23.568407916639547,24
Cerro Navia,2026,25.141565814267093,24
Cerro Navia,2027,26.465480136626315,24
Cerro Navia,2028,29.01891133252818,24
Cerro Navia,2029,29.862236134802345,24
Cerro Navia,2030,30.115368201806792,22
Cerro Navia,2031,30.180994095751508,14
El Bosque,2001,26.426173988032023,24
El Bosque,2002,25.518423989005885,24
El Bosque,2003,26.25273263770719,24
El Bosque,2004,27.63060631483768,24
El Bosque,2005,27.70860281974301,23
El Bosque,2006,26.284970154593445,23
El Bosque,2007,27.399287949500614,23
El Bosque,2008,26.654678469913886,24
El Bosque,2009,26.452361576349762,24
El Bosque,2010,26.692141365578866,24
El Bosque,2011,26.503823968026555,23
El Bosque,2012,28.122693845316867,24
El Bosque,2013,29.392867549121995,24
El Bosque,2014,29.576001738346598,24
El Bosque,2015,30.442748321362057,24
El Bosque,2016,29.004774415674557,24
El Bosque,2017,27.30987601902174,24
El Bosque,2018,26.434971108326373,24
El Bosque,2019,27.94197218339701,23
El Bosque,2020,27.857624121944795,23
El Bosque,2021,22.957852316523596,24
El Bosque,2022,22.491740578427123,24
El Bosque,2023,21.6011787453671,24
El Bosque,2024,26.814196147146063,25
El Bosque,2025,24.514486286861896,24
El Bosque,2026,26.55454674438291,24
El Bosque,2027,26.919767604865978,24
El Bosque,2028,30.348379224675032,24
El Bosque,2029,29.5432622161347,24
El Bosque,2030,28.584901045694203,22
El Bosque,2031,31.608744516353212,14
Independencia,2001,24.04880773549367,12
Independencia,2002,25.23295965680918,12
Independencia,2003,25.331873682962836,12
Independencia,2004,24.980694454604475,12
Independencia,2005,24.58269675925926,12
Independencia,2006,22.977623037357958,12
Independencia,2007,23.063785303758564,12
Independencia,2008,24.645402142900476,12
Independencia,2009,23.53680105949316,12
Independencia,2010,25.648360318606798,12
Independencia,2011,24.889024424323722,12
Independencia,2012,26.402156481125207,12
Independencia,2013,27.821937795508273,12
Independencia,2014,26.773305224867723,12
Independencia,2015,27.695931771869915,12
Independencia,2016,28.091435185185183,12
Independencia,2017,25.229125330687832,12
Independencia,2018,23.275344868448393,12
Independencia,2019,25.568409419798307,12
Independencia,2020,25.23744762654165,12
Independencia,2021,23.64965886939571,12
Independencia,2022,25.103327486925764,12
Independencia,2023,23.925302966813852,12
Independencia,2024,23.553094203487113,12
Independencia,2025,23.4829187016687,12
Independencia,2026,24.880650152275308,12
Independencia,2027,26.3790680342997,12
Independencia,2028,25.812739991117006,12
Independencia,2029,23.024960804208895,12
Independencia,2030,24.861392175176423,11
Independencia,2031,24.18197378716745,7
La Florida,2001,23.60278178694691,24
La Florida,2002,23.790626565622514,24
La Florida,2003,21.756560551230148,24
La Florida,2004,23.1300799427005,24
La Florida,2005,22.025850794910156,24
La Florida,2006,21.890585572590812,24
La Florida,2007,21.84001021618087,24
La Florida,2008,22.06732952003955,24
La Florida,2009,23.586106338301583,24
La Florida,2010,22.178553748764323,24
La Florida,2011,22.86396184690637,23
La Florida,2012,24.221556371355522,24
La Florida,2013,25.32834352296815,24
La Florida,2014,24.146510876613956,24
La Florida,2015,23.960631633488866,24
La Florida,2016,24.79207161202392,24
La Florida,2017,24.372148846565082,24
La Florida,2018,22.948772537657124,24
La Florida,2019,25.04704164784854,24
La Florida,2020,24.362136040371887,24
La Florida,2021,22.54578016106839,24
La Florida,2022,21.55478659007386,24
La Florida,2023,23.107459123514424,24
La Florida,2024,24.82980071902577,25
La Florida,2025,23.80398788306062,24
La Florida,2026,24.356992272932242,24
La Florida,2027,23.767756258614256,24
La Florida,2028,24.31541931926601,24
La Florida,2029,25.775281280679653,24
La Florida,2030,28.164415881927976,22
La Florida,2031,26.659618061113093,14
Las Condes,2001,16.432356818555366,24
Las Condes,2002,16.742130574057235,23
Las Condes,2003,17.18082856838245,24
Las Condes,2004,19.212962166246854,24
Las Condes,2005,18.15978519840364,24
Las Condes,2006,17.298717573178468,24
Las Condes,2007,18.492272484459985,24
Las Condes,2008,18.318223124193185,24
Las Condes,2009,17.818931693947057,23
Las Condes,2010,18.658076994614532,23
Las Condes,2011,18.694379494081666,23
Las Condes,2012,18.447887688550114,24
Las Condes,2013,18.545643449299387,24
Las Condes,2014,19.79455064159065,23
Las Condes,2015,20.781167860738112,23
Las Condes,2016,19.476215217539817,23
Las Condes,2017,18.709687337833792,23
Las Condes,2018,19.155618652997358,23
Las Condes,2019,19.618008619123437,24
Las Condes,2020,18.887892693563174,24
Las Condes,2021,18.082870408548473,24
Las Condes,2022,14.487095432371378,24
Las Condes,2023,15.021883990126453,24
Las Condes,2024,15.751041094952166,25
Las Condes,2025,15.01882483194378,24
Las Condes,2026,17.41561079381271,24
Las Condes,2027,18.869737547640863,24
Las Condes,2028,19.09397638180533,24
Las Condes,2029,17.49700744310116,24
Las Condes,2030,17.77132960607768,22
Las Condes,2031,19.31594915097822,14
Parque O'Higgins,2001,21.390953201890703,24
Parque O'Higgins,2002,21.11717674617872,23
Parque O'Higgins,2003,21.044137944483115,23
Parque O'Higgins,2004,23.541843360484457,23
Parque O'Higgins,2005,23.343530744653105,24
Parque O'Higgins,2006,22.061661211479013,24
Parque O'Higgins,2007,22.34509022083284,24
Parque O'Higgins,2008,21.26350817118812,24
Parque O'Higgins,2009,20.924131135068635,24
Parque O'Higgins,2010,21.189008084089476,24
Parque O'Higgins,2011,21.859198181159297,23
Parque O'Higgins,2012,22.29314491172309,24
Parque O'Higgins,2013,23.33305376808898,24
Parque O'Higgins,2014,24.07728220601862,24
Parque O'Higgins,2015,24.515543102040304,24
Parque O'Higgins,2016,24.291750851518355,24
Parque O'Higgins,2017,22.51366496785726,24
Parque O'Higgins,2018,21.58440965590052,24
Parque O'Higgins,2019,22.640022815269525,24
Parque O'Higgins,2020,22.462838427985066,24
Parque O'Higgins,2021,18.219703330169132,24
Parque O'Higgins,2022,17.482121583750104,24
Parque O'Higgins,2023,17.152563313765643,24
Parque O'Higgins,2024,19.950932422017484,24
Parque O'Higgins,2025,19.117078668677443,23
Parque O'Higgins,2026,21.617109086104755,23
Parque O'Higgins,2027,21.499071462339334,24
Parque O'Higgins,2028,23.813088665140878,24
Parque O'Higgins,2029,23.388807599405425,24
Parque O'Higgins,2030,23.44177064360805,22
Parque O'Higgins,2031,24.684644057125837,14
Pudahuel,2001,24.272019033415877,24
Pudahuel,2002,23.347369671909846,24
Pudahuel,2003,23.33086767951379,23
Pudahuel,2004,25.05161185829054,22
Pudahuel,2005,24.744162962868987,22
Pudahuel,2006,24.54893813252576,22
Pudahuel,2007,24.25603163328567,22
Pudahuel,2008,23.551123263528456,22
Pudahuel,2009,22.36586215859752,22
Pudahuel,2010,22.421750297087033,22
Pudahuel,2011,25.452433334933605,22
Pudahuel,2012,23.363458085560957,23
Pudahuel,2013,27.775780508624056,23
Pudahuel,2014,29.149748193208524,23
Pudahuel,2015,28.62499033779748,24
Pudahuel,2016,28.111865854053356,24
Pudahuel,2017,26.55585283573335,24
Pudahuel,2018,24.81387736789432,24
Pudahuel,2019,24.310389787860718,24
Pudahuel,2020,24.314852579986088,24
Pudahuel,2021,19.41895824083324,24
Pudahuel,2022,19.07491939219985,24
Pudahuel,2023,18.820831211778284,24
Pudahuel,2024,22.299307174307174,24
Pudahuel,2025,22.28869675239349,24
Pudahuel,2026,23.193612504967465,24
Pudahuel,2027,25.03661621743518,24
Pudahuel,2028,27.10017164940364,24
Pudahuel,2029,27.85968820979517,24
Pudahuel,2030,26.801696090080913,22
Pudahuel,2031,27.66974691974692,14
Puente Alto,2001,19.40309369560324,24
Puente Alto,2002,19.094076168136795,24
Puente Alto,2003,19.728134466720128,24
Puente Alto,2004,21.018836765190475,24
Puente Alto,2005,20.318182797520226,24
Puente Alto,2006,20.625696618992865,24
Puente Alto,2007,20.146296296296295,24
Puente Alto,2008,19.315740430667415,24
Puente Alto,2009,19.581401164757143,24
Puente Alto,2010,19.01085860756768,24
Puente Alto,2011,21.117920760621356,23
Puente Alto,2012,21.948687713096675,23
Puente Alto,2013,21.584224532155808,23
Puente Alto,2014,22.769260578694542,24
Puente Alto,2015,23.366941888883378,24
Puente Alto,2016,22.78223906552328,24
Puente Alto,2017,22.077649813809515,24
Puente Alto,2018,21.229104327629855,24
Puente Alto,2019,21.490736784771926,24
Puente Alto,2020,20.914928828081813,24
Puente Alto,2021,19.570305022566963,24
Puente Alto,2022,16.443650066124153,24
Puente Alto,2023,16.47122853746495,24
Puente Alto,2024,19.169587066315326,25
Puente Alto,2025,17.972022166467912,24
Puente Alto,2026,19.98717993001586,24
Puente Alto,2027,22.107118055555556,24
Puente Alto,2028,22.00176172377355,24
Puente Alto,2029,22.26609405937503,24
Puente Alto,2030,21.431866578095917,22
Puente Alto,2031,24.047134685731955,14
Quilicura,2001,21.427152584357785,24
Quilicura,2002,20.725393688749072,24
Quilicura,2003,21.534896795182608,24
Quilicura,2004,24.034881792422553,23
Quilicura,2005,23.55581954696538,24
Quilicura,2006,23.014443192964265,23
Quilicura,2007,22.070057050217535,22
Quilicura,2008,22.755777526825874,23
Quilicura,2009,21.455398510531406,24
Quilicura,2010,22.141928892449243,24
Quilicura,2011,22.075642148058648,23
Quilicura,2012,22.823327040906964,24
Quilicura,2013,23.20485505507287,24
Quilicura,2014,24.781755431196192,24
Quilicura,2015,25.15289228783843,24
Quilicura,2016,24.16414368919861,24
Quilicura,2017,23.748053283826312,24
Quilicura,2018,22.61970052484839,24
Quilicura,2019,22.996392366812625,24
Quilicura,2020,23.546066444966094,24
Quilicura,2021,18.9042018921095,24
Quilicura,2022,18.18986194370821,24
Quilicura,2023,17.18449457061323,24
Quilicura,2024,21.01673573519678,25
Quilicura,2025,19.63364155875211,24
Quilicura,2026,21.439860976688006,24
Quilicura,2027,22.833596258528193,24
Quilicura,2028,24.930069060309858,24
Quilicura,2029,24.322513175726204,24
Quilicura,2030,23.0437021006434,22
Quilicura,2031,25.862495417317206,14
Talagante,2001,21.95415733491781,23
Talagante,2002,20.205059643919224,24
Talagante,2003,21.17346574029906,24
Talagante,2004,21.332535899246704,24
Talagante,2005,21.771618764942733,24
Talagante,2006,21.17001047249988,24
Talagante,2007,20.47147546545408,24
Talagante,2008,20.68175862975144,23
Talagante,2009,20.283927743060502,24
Talagante,2010,20.96780478353382,24
Talagante,2011,21.557031403497625,23
Talagante,2012,22.228919629161066,24
Talagante,2013,22.8039208523633,24
Talagante,2014,24.32425517656807,24
Talagante,2015,23.953646973101907,24
Talagante,2016,22.146777694102166,24
Talagante,2017,20.75311562130535,24
Talagante,2018,20.531875534683195,24
Talagante,2019,20.856840900106416,24
Talagante,2020,20.83002178068755,24
Talagante,2021,17.649566211609336,24
Talagante,2022,16.41412703528451,24
Talagante,2023,17.070095708929546,23
