comuna,anio,pm25_media
13101,2001,21.390953201890703
13101,2002,21.11717674617872
13101,2003,21.044137944483115
13101,2004,23.541843360484457
13101,2005,23.343530744653105
13101,2006,22.061661211479013
13101,2007,22.34509022083284
13101,2008,21.26350817118812
13101,2009,20.924131135068635
13101,2010,21.189008084089476
13101,2011,21.859198181159297
13101,2012,22.29314491172309
13101,2013,23.33305376808898
13101,2014,24.07728220601862
13101,2015,24.515543102040304
13101,2016,24.291750851518355
13101,2017,22.51366496785726
13101,2018,21.58440965590052
13101,2019,22.640022815269525
13101,2020,22.462838427985066
13101,2021,18.219703330169132
13101,2022,17.482121583750104
13101,2023,17.152563313765643
13101,2024,19.950932422017484
13101,2025,19.117078668677443
13101,2026,21.617109086104755
13101,2027,21.499071462339337
13101,2028,23.81308866514088
13101,2029,23.388807599405425
13101,2030,23.44177064360805
13101,2031,24.684644057125837
13102,2001,25.81051068514145
13102,2002,26.70417580409357
13102,2003,25.521393989442664
13102,2004,26.258713290071775
13102,2005,25.12609763519388
13102,2006,23.02957787471914
13102,2007,22.453558042368993
13102,2008,24.420088633040937
13102,2009,23.713062927097702
13102,2010,25.986865712563464
13102,2011,24.900092231797608
13102,2012,26.458188468343472
13102,2013,27.83705072067141
13102,2014,28.488798541989865
13102,2015,26.910190937933685
13102,2016,26.466922143179765
13102,2017,24.00081525061937
13102,2018,21.934878220611917
13102,2019,25.06847864003947
13102,2020,26.002056437502365
13102,2021,23.70488803475936
13102,2022,24.47410235658591
13102,2023,24.44717819570876
13102,2024,24.017589546783626
13102,2025,25.578986019207793
13102,2026,26.93212331017731
13102,2027,28.67933658392435
13102,2028,28.100711952724247
13102,2029,22.31952346388271
13102,2030,22.830645921176135
13102,2031,23.96024595284123
13103,2001,25.610018955085582
13103,2002,24.74215765101865
13103,2003,24.980637559648116
13103,2004,26.539577142196983
13103,2005,25.635358285402788
13103,2006,24.93847359366987
13103,2007,25.121377113910384
13103,2008,24.617100109618452
13103,2009,23.7890977423506
13103,2010,24.104134245037507
13103,2011,25.80191168155953
13103,2012,25.041172689080888
13103,2013,28.529476923702006
13103,2014,29.86229730205602
13103,2015,29.717943350765733
13103,2016,29.301785293946992
13103,2017,27.612021145864993
13103,2018,25.348265255316772
13103,2019,25.68684957006366
13103,2020,25.40594840547288
13103,2021,20.195660719242426
13103,2022,19.9402857053424
13103,2023,19.458111907794773
13103,2024,24.27502996558786
13103,2025,22.928552334516517
13103,2026,24.16758915961728
13103,2027,25.751048177030746
13103,2028,28.059541490965913
13103,2029,28.860962172298755
13103,2030,28.458532145943852
13103,2031,28.925370507749214
13109,2001,26.426173988032023
13109,2002,25.518423989005885
13109,2003,26.25273263770719
13109,2004,27.63060631483768
13109,2005,27.70860281974301
13109,2006,26.284970154593445
13109,2007,27.399287949500614
13109,2008,26.65467846991389
13109,2009,26.45236157634976
13109,2010,26.692141365578863
13109,2011,26.503823968026555
13109,2012,28.122693845316867
13109,2013,29.392867549121995
13109,2014,29.5760017383466
13109,2015,30.442748321362057
13109,2016,29.004774415674557
13109,2017,27.30987601902174
13109,2018,26.434971108326373
13109,2019,27.94197218339701
13109,2020,27.857624121944795
13109,2021,22.957852316523596
13109,2022,22.491740578427123
13109,2023,21.6011787453671
13109,2024,26.814196147146063
13109,2025,24.514486286861896
13109,2026,26.55454674438291
13109,2027,26.919767604865974
13109,2028,30.348379224675032
13109,2029,29.5432622161347
13109,2030,28.584901045694203
13109,2031,31.608744516353212
13115,2001,16.432356818555366
13115,2002,16.742130574057235
13115,2003,17.18082856838245
13115,2004,19.212962166246857
13115,2005,18.15978519840364
13115,2006,17.298717573178468
13115,2007,18.492272484459985
13115,2008,18.318223124193185
13115,2009,17.818931693947057
13115,2010,18.658076994614532
13115,2011,18.694379494081662
13115,2012,18.44788768855011
13115,2013,18.545643449299387
13115,2014,19.79455064159065
13115,2015,20.781167860738112
13115,2016,19.476215217539817
13115,2017,18.709687337833792
13115,2018,19.15561865299736
13115,2019,19.618008619123437
13115,2020,18.887892693563177
13115,2021,18.082870408548473
13115,2022,14.487095432371378
13115,2023,15.021883990126453
13115,2024,15.751041094952166
13115,2025,15.01882483194378
13115,2026,17.41561079381271
13115,2027,18.869737547640863
13115,2028,19.09397638180533
13115,2029,17.49700744310116
13115,2030,17.77132960607768
13115,2031,19.31594915097822
13122,2001,23.60278178694691
13122,2002,23.790626565622514
13122,2003,21.756560551230148
13122,2004,23.1300799427005
13122,2005,22.025850794910156
13122,2006,21.890585572590812
13122,2007,21.84001021618087
13122,2008,22.06732952003955
13122,2009,23.586106338301583
13122,2010,22.178553748764323
13122,2011,22.86396184690637
13122,2012,24.22155637135552
13122,2013,25.32834352296815
13122,2014,24.146510876613956
13122,2015,23.960631633488862
13122,2016,24.79207161202392
13122,2017,24.37214884656508
13122,2018,22.948772537657124
13122,2019,25.04704164784854
13122,2020,24.362136040371887
13122,2021,22.54578016106839
13122,2022,21.55478659007386
13122,2023,23.107459123514424
13122,2024,24.82980071902577
13122,2025,23.80398788306062
13122,2026,24.35699227293224
13122,2027,23.767756258614256
13122,2028,24.31541931926601
13122,2029,25.775281280679653
13122,2030,28.164415881927976
13122,2031,26.659618061113093
13125,2001,21.427152584357785
13125,2002,20.725393688749072
13125,2003,21.534896795182608
13125,2004,24.034881792422553
13125,2005,23.55581954696538
13125,2006,23.014443192964265
13125,2007,22.070057050217535
13125,2008,22.755777526825874
13125,2009,21.455398510531406
13125,2010,22.141928892449243
13125,2011,22.075642148058648
13125,2012,22.823327040906964
13125,2013,23.20485505507287
13125,2014,24.781755431196192
13125,2015,25.15289228783843
13125,2016,24.16414368919861
13125,2017,23.748053283826312
13125,2018,22.61970052484839
13125,2019,22.996392366812625
13125,2020,23.546066444966097
13125,2021,18.9042018921095
13125,2022,18.18986194370821
13125,2023,17.18449457061323
13125,2024,21.01673573519678
13125,2025,19.63364155875211
13125,2026,21.439860976688006
13125,2027,22.833596258528193
13125,2028,24.930069060309854
13125,2029,24.322513175726204
